frame.number	frame.time_relative	ip.src	ip.dst	frame.protocols	frame.len
231	74341263.701000371	192.168.1.78	216.115.69.144	eth:ethertype:ip:udp:sip	749
232	74341263.725632367			eth:llc:stp	60
233	74341263.763265961			eth:ethertype:ipv6:udp:ntp	110
234	74341263.820012037	216.115.69.144	192.168.1.78	eth:ethertype:ip:udp:sip	439
235	74341264.059189697	192.168.1.72	224.0.0.251	eth:ethertype:ip:igmp:igmp	60
236	74341264.589876783			eth:ethertype:data	118
237	74341264.726933062			eth:llc:stp	60
238	74341264.956930770	192.168.1.67	239.255.255.250	eth:ethertype:ip:udp:data	505
239	74341265.002464489	192.168.1.65	239.255.255.250	eth:ethertype:ip:udp:data	505
240	74341265.474170010	192.168.1.105	239.255.255.250	eth:ethertype:ip:udp:data	586
241	74341265.589915068			eth:ethertype:data	118
242	74341265.653512984			eth:ethertype:ipv6:udp:ntp	110
243	74341265.725311065			eth:llc:stp	60
244	74341265.747976321			eth:ethertype:ipv6:udp:ntp	110
245	74341266.589910979			eth:ethertype:data	118
246	74341266.674234119			eth:ethertype:ipv6:udp:ntp	110
247	74341266.698486992			eth:ethertype:ipv6:udp:ntp	110
248	74341266.725413725			eth:llc:stp	60
249	74341266.764673310			eth:ethertype:ipv6:udp:ntp	110
250	74341266.800924953			eth:ethertype:ipv6:udp:ntp	110
251	74341267.589890057			eth:ethertype:data	118
252	74341267.675080484			eth:ethertype:ipv6:udp:ntp	110
253	74341267.696175998			eth:ethertype:ipv6:udp:ntp	110
254	74341267.696235623			eth:ethertype:ipv6:udp:ntp	110
255	74341267.716861598			eth:ethertype:ipv6:udp:ntp	110
256	74341267.725402844			eth:llc:stp	60
257	74341267.726107341			eth:ethertype:ipv6:udp:ntp	110
258	74341267.786644356			eth:ethertype:ipv6:udp:ntp	110
259	74341267.808679157			eth:ethertype:ipv6:udp:ntp	110
260	74341267.818465938			eth:ethertype:ipv6:udp:ntp	110
261	74341267.958368745	192.168.1.67	239.255.255.250	eth:ethertype:ip:udp:data	505
262	74341268.003807214	192.168.1.65	239.255.255.250	eth:ethertype:ip:udp:data	505
263	74341268.476222940	192.168.1.105	239.255.255.250	eth:ethertype:ip:udp:data	586
264	74341268.589981258			eth:ethertype:data	118
265	74341268.653574424			eth:ethertype:ipv6:udp:ntp	110
266	74341268.715392974			eth:ethertype:ipv6:udp:ntp	110
267	74341268.725414172			eth:llc:stp	60
268	74341269.589937086			eth:ethertype:data	118
269	74341269.653527002			eth:ethertype:ipv6:udp:ntp	110
270	74341269.653581210			eth:ethertype:ipv6:udp:ntp	110
271	74341269.653616460			eth:ethertype:ipv6:udp:ntp	110
272	74341269.703359740			eth:ethertype:ipv6:udp:ntp	110
273	74341269.725444791			eth:llc:stp	60
274	74341269.743893235			eth:ethertype:ipv6:udp:ntp	110
275	74341269.745584976			eth:ethertype:ipv6:udp:ntp	110
276	74341270.589965163			eth:ethertype:data	118
277	74341270.653536788			eth:ethertype:ipv6:udp:ntp	110
278	74341270.715652378			eth:ethertype:ipv6:udp:ntp	110
279	74341270.725376118			eth:llc:stp	60
280	74341270.958949016	192.168.1.67	239.255.255.250	eth:ethertype:ip:udp:data	505
281	74341271.004860524	192.168.1.65	239.255.255.250	eth:ethertype:ip:udp:data	505
282	74341271.478692622	192.168.1.105	239.255.255.250	eth:ethertype:ip:udp:data	586
283	74341271.589999947			eth:ethertype:data	118
284	74341271.653540381			eth:ethertype:ipv6:udp:ntp	110
285	74341271.653598174			eth:ethertype:ipv6:udp:ntp	110
286	74341271.703347462			eth:ethertype:ipv6:udp:ntp	110
287	74341271.725427454			eth:llc:stp	60
288	74341271.745315419			eth:ethertype:ipv6:udp:ntp	110
289	74341272.590107360			eth:ethertype:data	118
290	74341272.653594417			eth:ethertype:ipv6:udp:ntp	110
291	74341272.718384182			eth:ethertype:ipv6:udp:ntp	110
292	74341272.725445198			eth:llc:stp	60
293	74341273.590088555			eth:ethertype:data	118
294	74341273.653527005			eth:ethertype:ipv6:udp:ntp	110
295	74341273.653580090			eth:ethertype:ipv6:udp:ntp	110
296	74341273.706783393			eth:ethertype:ipv6:udp:ntp	110
297	74341273.725524260			eth:llc:stp	60
298	74341273.746445195			eth:ethertype:ipv6:udp:ntp	110
299	74341273.960004677	192.168.1.67	239.255.255.250	eth:ethertype:ip:udp:data	505
300	74341273.961525974	192.168.1.65	239.255.255.250	eth:ethertype:ip:igmp:igmp	60
301	74341274.006375186	192.168.1.65	239.255.255.250	eth:ethertype:ip:udp:data	505
302	74341274.480660183	192.168.1.105	239.255.255.250	eth:ethertype:ip:udp:data	586
303	74341274.590153414			eth:ethertype:data	118
304	74341274.725664767			eth:llc:stp	60
305	74341275.590243648			eth:ethertype:data	118
306	74341275.653637927			eth:ethertype:ipv6:udp:ntp	110
307	74341275.653760055			eth:ethertype:ipv6:udp:ntp	110
308	74341275.706044620			eth:ethertype:ipv6:udp:ntp	110
309	74341275.726907678			eth:llc:stp	60
310	74341275.747526730			eth:ethertype:ipv6:udp:ntp	110
311	74341276.303897297	192.168.1.74	224.0.0.251	eth:ethertype:ip:udp:mdns	103
312	74341276.313738414			eth:ethertype:ipv6:udp:mdns	123
313	74341276.590281446			eth:ethertype:data	118
314	74341276.725642128			eth:llc:stp	60
315	74341276.813586281			eth:ethertype:arp	60
316	74341276.813591239			eth:ethertype:arp	60
317	74341276.816145938			eth:ethertype:arp	60
318	74341276.816148605			eth:ethertype:arp	60
319	74341276.816150896			eth:ethertype:arp	60
320	74341276.816152646			eth:ethertype:arp	60
321	74341276.816154396			eth:ethertype:arp	60
322	74341276.816156355			eth:ethertype:arp	60
323	74341276.816157980			eth:ethertype:arp	60
324	74341276.818598508			eth:ethertype:arp	60
325	74341276.818602050			eth:ethertype:arp	60
326	74341276.818604175			eth:ethertype:arp	60
327	74341276.818606009			eth:ethertype:arp	60
328	74341276.818607884			eth:ethertype:arp	60
329	74341276.818609759			eth:ethertype:arp	60
330	74341276.818611467			eth:ethertype:arp	60
331	74341276.819539910			eth:ethertype:arp	60
332	74341276.821968980			eth:ethertype:arp	60
333	74341276.821972439			eth:ethertype:arp	60
334	74341276.821974397			eth:ethertype:arp	60
335	74341276.821976147			eth:ethertype:arp	60
336	74341276.821977814			eth:ethertype:arp	60
337	74341276.821979606			eth:ethertype:arp	60
338	74341276.821981814			eth:ethertype:arp	60
339	74341276.822922133			eth:ethertype:arp	60
340	74341276.822924383			eth:ethertype:arp	60
341	74341276.825021735			eth:ethertype:arp	60
342	74341276.825024735			eth:ethertype:arp	60
343	74341276.825026568			eth:ethertype:arp	60
344	74341276.825028276			eth:ethertype:arp	60
345	74341276.825029985			eth:ethertype:arp	60
346	74341276.825031777			eth:ethertype:arp	60
347	74341276.825036818			eth:ethertype:arp	60
348	74341276.825118529			eth:ethertype:arp	42
349	74341276.826045181			eth:ethertype:arp	60
350	74341276.826047972			eth:ethertype:arp	60
351	74341276.826049931			eth:ethertype:arp	60
352	74341276.828629505			eth:ethertype:arp	60
353	74341276.828633213			eth:ethertype:arp	60
354	74341276.828635880			eth:ethertype:arp	60
355	74341276.828637630			eth:ethertype:arp	60
356	74341276.828639672			eth:ethertype:arp	60
357	74341276.961277693	192.168.1.67	239.255.255.250	eth:ethertype:ip:udp:data	505
358	74341277.007604316	192.168.1.65	239.255.255.250	eth:ethertype:ip:udp:data	505
359	74341277.482253299	192.168.1.105	239.255.255.250	eth:ethertype:ip:udp:data	586
360	74341277.590333706			eth:ethertype:data	118
361	74341277.653520208			eth:ethertype:ipv6:udp:ntp	110
362	74341277.653573376			eth:ethertype:ipv6:udp:ntp	110
363	74341277.704915531			eth:ethertype:ipv6:udp:ntp	110
364	74341277.725776693			eth:llc:stp	60
365	74341277.746911612			eth:ethertype:ipv6:udp:ntp	110
366	74341278.319929726			eth:ethertype:ipv6:icmpv6:data	118
367	74341278.320056646			eth:ethertype:ipv6:icmpv6:data	118
368	74341278.563886310			eth:ethertype:ipv6:icmpv6:data	118
